t_rel,x,y,yaw_q_z,yaw_q_w,vx,wz
0.028151549,-0.2167364167231893,-0.029867558340917363,0.14701255876819974,0.9891346256018069,-0.27051933333333333,0.23460946692008325
0.079324815,-0.23247530382470585,-0.03475908534979214,0.1531757291648777,0.9881989657932293,-0.3238588333333333,0.24498642411077928
0.128493965,-0.24763910154260127,-0.039676588881592624,0.15913120811180403,0.9872574429219958,-0.3238588333333333,0.24498642411077928
0.179181474,-0.26630044054171553,-0.04600091647798115,0.1661672163173835,0.986097589603246,-0.3883315,0.28108018825233044
0.228589774,-0.2843395164233477,-0.05239844786596148,0.17299375725234545,0.9849229208175209,-0.3883315,0.28108018825233044
0.279213056,-0.30537215547720603,-0.060187089182347116,0.17980280515240543,0.9837026742158049,-0.44250183333333337,0.2729590913204816
0.328483076,-0.3257137425185528,-0.06803701044075343,0.18641394458640223,0.982471292844599,-0.44250183333333337,0.2729590913204816
0.379487372,-0.34431455511678943,-0.07541851898055066,0.18912076399050445,0.9819538363017113,-0.3931503333333333,0.10828129242465373
0.428458014,-0.36221916437728213,-0.08263619706647618,0.19173055851498877,0.9814476007059829,-0.3931503333333333,0.10828129242465373
0.479174293,-0.3736084673417837,-0.08721674888915604,0.18832790375572248,0.9821062064089481,-0.24210483333333332,-0.1367051316861255
0.528458426,-0.3847101896287241,-0.09159372891739048,0.18501801269418847,0.9827351296146348,-0.24210483333333332,-0.1367051316861255
0.579345371,-0.3902024366924169,-0.0937302781330553,0.1838560091267941,0.9829531870379017,-0.11581816666666667,-0.04647072133224724
0.628605406,-0.39552124303270403,-0.0957851247148095,0.18273147041173549,0.9831628602226413,-0.11581816666666667,-0.04647072133224724
0.679182157,-0.3973189425276285,-0.09647782079944611,0.1829897280842352,0.9831148251428505,-0.038052166666666665,0.01037695719069598
0.728440752,-0.3990674519674192,-0.09715260368278074,0.18324095719577113,0.9830680299989302,-0.038052166666666665,0.01037695719069598
0.779916084,-0.39866046728166327,-0.09699557855825715,0.18290989835324467,0.9831296807056563,0.0084745,-0.013083989501312334
0.828459053,-0.39827673963268756,-0.09684781491585137,0.1825978174899397,0.9831876916682342,0.0084745,-0.013083989501312334
0.879209127,-0.39778031212704174,-0.09665716737015076,0.18202318864721068,0.98329423815799,0.010468499999999999,-0.02300977464023893
0.9285971,-0.39729828192209937,-0.09647268567084526,0.18146541192763951,0.9833973277744515,0.010468499999999999,-0.02300977464023893
0.979497596,-0.3977085832493685,-0.09662966441222791,0.18191654265014162,0.9833139740236682,-0.008640666666666666,0.018046882070775632
1.028539651,-0.39810443426660896,-0.0967815238051509,0.18235189914753003,0.9832333318583586,-0.008640666666666666,0.018046882070775632
1.079144866,-0.3981909192553287,-0.0968147582568458,0.18247557054587937,0.9832103875335918,-0.0018278333333333332,0.004962892569463299
1.128471098,-0.3982750460177815,-0.09684711045004088,0.18259587844478048,0.9831880517861163,-0.0018278333333333332,0.004962892569463299
1.179183103,-0.3980941425763045,-0.09677757057673603,0.18233718289057002,0.9832360610430899,0.003821833333333333,-0.01037695719069599
1.228526327,-0.3979182982073466,-0.09671008011828708,0.18208575992298692,0.983282653174187,0.003821833333333333,-0.01037695719069599
1.279413446,-0.3978314181514777,-0.0966767729399033,0.18196155228633468,0.9833056460173243,0.0018278333333333332,-0.004962892569463299
1.328466414,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0018278333333333332,-0.004962892569463299
1.379147506,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.428448424,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.479117739,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.52850951,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.579448888,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.628480286,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.679314155,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.728475289,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.779394313,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.828498484,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.879366946,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.928478345,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
1.979346982,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.028456674,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.079062096,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.12847539,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.179093772,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.22841138,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.279166571,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.328437904,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.379052255,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.428429898,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.479465488,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.528439877,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.579140376,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.628449728,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.679161236,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.728456698,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.779167534,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.828470005,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.879107461,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.928442506,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
2.979137517,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.028501673,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.079165866,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.128391422,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.17910525,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.228388666,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.279134431,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.328487898,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.379180829,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
3.428474261,-0.3977476061467999,-0.09664466581298753,0.18184173951747126,0.9833278099236592,0.0,-0.0
