t_rel,estop,throttle,brake,steer,mode
0.015684427,0,0.0,0.964309811592102,0.2647765874862671,N
0.065654744,0,0.0,0.964309811592102,0.2647765874862671,N
0.11451962,0,0.0,0.0,-0.0,N
0.166045706,0,0.0,0.0,-0.0,N
0.216846214,0,0.0,0.0,-0.0,N
0.268284103,0,0.0,0.0,-0.0,N
0.315418575,0,0.0,0.0,-0.0,N
0.36601296,0,0.0,0.0,-0.0,N
0.416127124,0,0.0,0.0,-0.0,N
0.46767606,0,0.0,0.0,-0.0,N
0.519186849,0,0.0,0.0,-0.0,N
0.568185333,0,0.0,0.0,-0.0,N
0.627456508,0,0.0,0.0,-0.0,N
0.670063422,0,0.0,0.0,-0.0,N
0.720895004,0,0.0,0.0,-0.0,N
0.776318051,0,0.0,0.0,-0.0,N
0.823363398,0,0.0,0.0,-0.0,N
0.882265239,0,0.0,0.0,-0.0,N
0.951880042,0,0.0,0.0,-0.0,N
0.981563824,0,0.0,0.0,-0.0,N
1.030629497,0,0.0,0.0,-0.0,N
1.080992106,0,0.0,0.0,-0.0,N
1.139161843,0,0.0,0.0,-0.0,N
1.17859299,0,0.0,0.0,-0.0,N
1.229976905,0,0.0,0.0,-0.0,N
1.284562504,0,0.0,0.0,-0.0,N
1.332625464,0,0.0,0.0,-0.0,N
1.380620229,0,0.0,0.0,-0.0,N
1.4353427,0,0.0,0.0,-0.0,N
1.481317478,0,0.0,0.0,-0.0,N
1.534722339,0,0.0,0.0,-0.0,N
1.594891485,0,0.0,0.0,-0.0,N
1.631293149,0,0.0,0.0,-0.0,N
1.685285499,0,0.0,0.0,-0.0,N
1.73372688,0,0.0,0.0,-0.0,N
1.783084025,0,0.0,0.0,-0.0,N
1.832901324,0,0.0,0.0,-0.0,N
1.886151136,0,0.0,0.0,-0.0,N
1.934071995,0,0.0,0.0,-0.0,N
1.984498399,0,0.0,0.0,-0.0,N
2.038781239,0,0.0,0.0,-0.0,N
2.086243033,0,0.0,0.0,-0.0,N
2.140787263,0,0.0,0.0,-0.0,N
2.188921382,0,0.0,0.0,-0.0,N
2.242779174,0,0.0,0.0,-0.0,N
2.290681472,0,0.0,0.0,-0.0,N
2.342095739,0,0.0,0.0,-0.0,N
2.392582018,0,0.0,0.0,-0.0,N
2.4443404,0,0.0,0.0,-0.0,N
2.494751411,0,0.0,0.0,-0.0,N
2.54595485,0,0.0,0.0,-0.0,N
2.600939584,0,0.0,0.0,-0.0,N
2.645944316,0,0.0,0.0,-0.0,N
2.696401058,0,0.0,0.0,-0.0,N
2.74539676,0,0.0,0.0,-0.0,N
2.795207035,0,0.0,0.0,-0.0,N
2.850098548,0,0.0,0.0,-0.0,N
2.899225297,0,0.0,0.0,-0.0,N
2.947535519,0,0.0,0.0,-0.0,N
2.996556777,0,0.0,0.0,-0.0,N
3.04759683,0,0.0,0.0,-0.0,N
3.097621885,0,0.0,0.0,-0.0,N
3.151988675,0,0.0,0.0,-0.0,N
