t_rel,L_cmd_rpm,R_cmd_rpm,L_meas_rpm,R_meas_rpm,L_pos_rev,R_pos_rev,v_target,w_target,v_slewed,w_slewed,v_after_imu,w_after_imu,yaw,yaw_rate,heading_locked,estop
0.0,-2096.226318359375,-1516.1083984375,-1074.0,-554.0,-44.02330017089844,29.35689926147461,-1.4477105140686035,0.26173296570777893,-0.6002496480941772,0.26173296570777893,-0.6002496480941772,0.26173296570777893,0.0,0.0,0.0,0.0
0.017584633,-2159.77978515625,-1572.916015625,-1074.0,-554.0,-44.02330017089844,29.35689926147461,-1.4464647769927979,0.2647765874862671,-0.6202496290206909,0.2647765874862671,-0.6202496290206909,0.2647765874862671,0.0,0.0,0.0,0.0
0.037684357,-2219.96044921875,-1633.0965576171875,-1074.0,-554.0,-44.02330017089844,29.35689926147461,-1.4464647769927979,0.2647765874862671,-0.6402496099472046,0.2647765874862671,-0.6402496099472046,0.2647765874862671,0.0,0.0,0.0,0.0
0.058055712,-2280.140869140625,-1693.277099609375,-1246.0,-703.0,-46.475799560546875,28.02359962463379,-1.4464647769927979,0.2647765874862671,-0.660249650478363,0.2647765874862671,-0.660249650478363,0.2647765874862671,0.0,0.0,0.0,0.0
0.078046629,-2340.321533203125,-1753.4576416015625,-1246.0,-703.0,-46.475799560546875,28.02359962463379,-1.4464647769927979,0.2647765874862671,-0.6802496314048767,0.2647765874862671,-0.6802496314048767,0.2647765874862671,0.0,0.0,0.0,0.0
0.098149392,-2400.501953125,-1813.63818359375,-1246.0,-703.0,-46.475799560546875,28.02359962463379,-1.4464647769927979,0.2647765874862671,-0.7002496123313904,0.2647765874862671,-0.7002496123313904,0.2647765874862671,0.0,0.0,0.0,0.0
0.118011822,-2265.90234375,-1767.6962890625,-1246.0,-703.0,-46.475799560546875,28.02359962463379,0.0,-0.0,-0.6702496409416199,0.22477658092975616,-0.6702496409416199,0.22477658092975616,0.0,0.0,0.0,0.0
0.137939855,-2131.302490234375,-1721.7545166015625,-1246.0,-703.0,-46.475799560546875,28.02359962463379,0.0,-0.0,-0.6402496099472046,0.18477658927440643,-0.6402496099472046,0.18477658927440643,0.0,0.0,0.0,0.0
0.157947957,-1996.70263671875,-1675.8126220703125,-1480.0,-857.0,-49.356998443603516,26.30929946899414,0.0,-0.0,-0.6102496385574341,0.1447765827178955,-0.6102496385574341,0.1447765827178955,0.0,0.0,0.0,0.0
0.177990525,-1862.1029052734375,-1629.870849609375,-1480.0,-857.0,-49.356998443603516,26.30929946899414,0.0,-0.0,-0.5802496075630188,0.10477659106254578,-0.5802496075630188,0.10477659106254578,0.0,0.0,0.0,0.0
0.19807684,-1727.5030517578125,-1583.9290771484375,-1480.0,-857.0,-49.356998443603516,26.30929946899414,0.0,-0.0,-0.5502496361732483,0.06477658450603485,-0.5502496361732483,0.06477658450603485,0.0,0.0,0.0,0.0
0.219154892,-1592.9031982421875,-1537.9871826171875,-1480.0,-857.0,-49.356998443603516,26.30929946899414,0.0,-0.0,-0.520249605178833,0.024776587262749672,-0.520249605178833,0.024776587262749672,0.0,0.0,0.0,0.0
0.238059666,-1475.1744384765625,-1475.1744384765625,-1480.0,-857.0,-49.356998443603516,26.30929946899414,0.0,-0.0,-0.4902496337890625,0.0,-0.4902496337890625,0.0,0.0,0.0,0.0,0.0
0.258010997,-1384.903564453125,-1384.903564453125,-1634.0,-1029.0,-51.809600830078125,24.404600143432617,0.0,-0.0,-0.4602496325969696,0.0,-0.4602496325969696,0.0,0.0,0.0,0.0,0.0
0.27796092,-1294.6328125,-1294.6328125,-1634.0,-1029.0,-51.809600830078125,24.404600143432617,0.0,-0.0,-0.4302496314048767,0.0,-0.4302496314048767,0.0,0.0,0.0,0.0,0.0
0.298021921,-1204.3619384765625,-1204.3619384765625,-1634.0,-1029.0,-51.809600830078125,24.404600143432617,0.0,-0.0,-0.4002496302127838,0.0,-0.4002496302127838,0.0,0.0,0.0,0.0,0.0
0.318107371,-1114.0911865234375,-1114.0911865234375,-1634.0,-1029.0,-51.809600830078125,24.404600143432617,0.0,-0.0,-0.3702496290206909,0.0,-0.3702496290206909,0.0,0.0,0.0,0.0,0.0
0.337934695,-1023.8203735351562,-1023.8203735351562,-1634.0,-1029.0,-51.809600830078125,24.404600143432617,0.0,-0.0,-0.340249627828598,0.0,-0.340249627828598,0.0,0.0,0.0,0.0,0.0
0.357941837,-933.549560546875,-933.549560546875,-1303.0,-1063.0,-52.619300842285156,22.880800247192383,0.0,-0.0,-0.3102496266365051,0.0,-0.3102496266365051,0.0,0.0,0.0,0.0,0.0
0.378145886,-843.2787475585938,-843.2787475585938,-1303.0,-1063.0,-52.619300842285156,22.880800247192383,0.0,-0.0,-0.28024962544441223,0.0,-0.28024962544441223,0.0,0.0,0.0,0.0,0.0
0.39815786,-753.0079345703125,-753.0079345703125,-1303.0,-1063.0,-52.619300842285156,22.880800247192383,0.0,-0.0,-0.25024962425231934,0.0,-0.25024962425231934,0.0,0.0,0.0,0.0,0.0
0.418153994,-662.7371215820312,-662.7371215820312,-1303.0,-1063.0,-52.619300842285156,22.880800247192383,0.0,-0.0,-0.22024962306022644,0.0,-0.22024962306022644,0.0,0.0,0.0,0.0,0.0
0.437903329,-572.46630859375,-572.46630859375,-1303.0,-1063.0,-52.619300842285156,22.880800247192383,0.0,-0.0,-0.19024962186813354,0.0,-0.19024962186813354,0.0,0.0,0.0,0.0,0.0
0.457875877,-482.1954650878906,-482.1954650878906,-577.0,-880.0,-53.119300842285156,21.999900817871094,0.0,-0.0,-0.16024963557720184,0.0,-0.16024963557720184,0.0,0.0,0.0,0.0,0.0
0.477933518,-391.9246520996094,-391.9246520996094,-577.0,-880.0,-53.119300842285156,21.999900817871094,0.0,-0.0,-0.13024963438510895,0.0,-0.13024963438510895,0.0,0.0,0.0,0.0,0.0
0.498016952,-301.6538391113281,-301.6538391113281,-577.0,-880.0,-53.119300842285156,21.999900817871094,0.0,-0.0,-0.10024962574243546,0.0,-0.10024962574243546,0.0,0.0,0.0,0.0,0.0
0.517995644,-211.38304138183594,-211.38304138183594,-577.0,-880.0,-53.119300842285156,21.999900817871094,0.0,-0.0,-0.07024963200092316,0.0,-0.07024963200092316,0.0,0.0,0.0,0.0,0.0
0.538119241,-121.11222076416016,-121.11222076416016,-577.0,-880.0,-53.119300842285156,21.999900817871094,0.0,-0.0,-0.04024962708353996,0.0,-0.04024962708353996,0.0,0.0,0.0,0.0,0.0
0.5579425,-30.84140968322754,-30.84140968322754,-297.0,-400.0,-53.47650146484375,21.880800247192383,0.0,-0.0,-0.010249628685414791,0.0,-0.010249628685414791,0.0,0.0,0.0,0.0,0.0
0.578070225,0.0,0.0,-297.0,-400.0,-53.47650146484375,21.880800247192383,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.598094008,0.0,0.0,-297.0,-400.0,-53.47650146484375,21.880800247192383,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.618070748,0.0,0.0,-297.0,-400.0,-53.47650146484375,21.880800247192383,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.638052129,0.0,0.0,-297.0,-400.0,-53.47650146484375,21.880800247192383,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.658092265,0.0,0.0,-126.0,-103.0,-53.19070053100586,21.952299118041992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.677993865,0.0,0.0,-126.0,-103.0,-53.19070053100586,21.952299118041992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.697944043,0.0,0.0,-126.0,-103.0,-53.19070053100586,21.952299118041992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.717993236,0.0,0.0,-126.0,-103.0,-53.19070053100586,21.952299118041992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.737932982,0.0,0.0,-126.0,-103.0,-53.19070053100586,21.952299118041992,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.757899129,0.0,0.0,40.0,11.0,-53.119300842285156,21.928499221801758,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
