t_rel,x,y,yaw_q_z,yaw_q_w,vx,wz
0.010289658,-0.33387943177172447,-0.05265384773733839,-0.9674768654292532,0.2529595122923562,0.09587816666666665,-0.002255860258846943
0.061504095,-0.3415512056181679,-0.05695467432263957,-0.9676103232877015,0.25244853389764405,0.17281333333333335,-0.02075391438139196
0.110880678,-0.34898940190531336,-0.061114396803748645,-0.9677393850719608,0.2519533341326191,0.17281333333333335,-0.02075391438139196
0.161417418,-0.3598202114989335,-0.06715665945720724,-0.9678716394710185,0.25144480409760456,0.24492966666666666,-0.02075391438139196
0.210748631,-0.37037196667295413,-0.07302890379095203,-0.9680001551573633,0.25094959576640224,0.24492966666666666,-0.02075391438139196
0.261448868,-0.3845602468524363,-0.08091416136702598,-0.9680173805785728,0.2508831419163085,0.320037,-0.0027070323106163393
0.310717178,-0.39834406686583446,-0.08857219528290973,-0.9680341093341148,0.25081858616479574,0.320037,-0.0027070323106163393
0.361404073,-0.4149698997661979,-0.09780351759641118,-0.9680828642001451,0.25063034142346674,0.3750381666666667,-0.0076699248800795655
0.410719704,-0.43113611562584675,-0.10677153302790794,-0.9681302260700055,0.25044733053007373,0.3750381666666667,-0.0076699248800795655
0.461359214,-0.4478530201716745,-0.1160336577472573,-0.9682132226149872,0.2501262792141226,0.37703216666666667,-0.01308398950131232
0.510656352,-0.46412089933321676,-0.1250330924703919,-0.9682938584192147,0.2498139382573157,0.37703216666666667,-0.01308398950131232
0.561450175,-0.4797250156557549,-0.1336508314807205,-0.9683910159760123,0.24943704652065343,0.3512763333333333,-0.015339849760159207
0.610736499,-0.49487823730956854,-0.14200439190659617,-0.9684851858446512,0.24907116412674407,0.3512763333333333,-0.015339849760159207
0.66136593,-0.5107328840708,-0.1507179274625378,-0.9687126140767601,0.24818515533482244,0.35692599999999997,-0.03609376414155124
0.710766797,-0.5261759714466385,-0.15916901949603815,-0.9689331413908545,0.24732280023170206,0.35692599999999997,-0.03609376414155124
0.761370856,-0.5431958149221193,-0.16845597829862471,-0.969015063983989,0.24700163111223727,0.3826818333333333,-0.013083989501312395
0.810671321,-0.5597738248616299,-0.1774877794340739,-0.969094729124868,0.24668888499970712,0.3826818333333333,-0.013083989501312395
0.861392163,-0.5783002085973619,-0.18756699613502506,-0.9691596002285314,0.24643390449545133,0.4159151666666666,-0.01037695719069598
0.91072776,-0.5963130828827214,-0.19735473109272372,-0.9692225911637908,0.24618604505078504,0.4159151666666666,-0.01037695719069598
0.961353639,-0.6178047642464449,-0.20901450764929863,-0.9693210384911403,0.2457981373779251,0.4823818333333333,-0.01579102181192866
1.01067602,-0.6387175835766025,-0.22033887681020436,-0.9694166442933165,0.2454208014148056,0.4823818333333333,-0.01579102181192866
1.061316262,-0.6646414337605164,-0.23432424528923312,-0.9697050332524061,0.24427883347713547,0.5810848333333334,-0.046470721332247146
1.110639025,-0.6898917367905242,-0.24787059665625558,-0.9699842876007156,0.2431676002425738,0.5810848333333334,-0.046470721332247146
1.161279139,-0.7184945219724913,-0.26313507483559034,-0.9702366745248622,0.24215861621453144,0.6399078333333335,-0.04105665671101462
1.21060923,-0.7463757104663564,-0.2779410031093519,-0.970481416957084,0.2411759095369404,0.6399078333333335,-0.04105665671101462
1.261299481,-0.7771335110934816,-0.2942013018011392,-0.9706850767853561,0.2403549078055353,0.6866006666666666,-0.033386731830934976
1.310655071,-0.8071050156578011,-0.30998195800572137,-0.9708826882553158,0.23955543334713023,0.6866006666666666,-0.033386731830934976
1.36130856,-0.838298628618385,-0.32634735326358566,-0.9710385896944884,0.23892270156713658,0.6950751666666667,-0.025716806950855188
1.410621468,-0.8686734522744569,-0.3422334078952972,-0.9711899008607547,0.2383068955487384,0.6950751666666667,-0.025716806950855188
1.461292106,-0.8989079384510277,-0.3579992392949695,-0.9713286172909983,0.23774086151008508,0.6731411666666667,-0.023009774640239074
1.510628627,-0.928379483474838,-0.37332413186278773,-0.9714634351157196,0.23718936365943136,0.6731411666666667,-0.023009774640239074
1.561287971,-0.9587821508475507,-0.3890760065273071,-0.9716798587507601,0.2363011893709017,0.6759660000000001,-0.03609376414155124
1.610641418,-0.9884257722893899,-0.4043668190203243,-0.9718899015029531,0.23543580729485508,0.6759660000000001,-0.03609376414155124
1.661284155,-1.019281567829755,-0.42021512644122055,-0.9720886913255666,0.23461367436052669,0.6846066666666667,-0.033386731830934976
1.71061351,-1.049349271338354,-0.435595269598062,-0.9722815699712452,0.233813063566283,0.6846066666666667,-0.033386731830934976
1.76128002,-1.0802116645969666,-0.4513347386696942,-0.9723723793391726,0.2334351213898117,0.6836096666666667,-0.015339849760159282
1.810633179,-1.1102612006018437,-0.46663062819296597,-0.9724606213361284,0.2330672434096027,0.6836096666666667,-0.015339849760159282
1.861298282,-1.1409387699661715,-0.4822139380988772,-0.9725671002987749,0.23262251700218703,0.678957,-0.018046882070775698
