t_rel,estop,throttle,brake,steer,mode
0.011354117,0,0.31863704323768616,0.0,0.0050179059617221355,N
0.067329837,0,0.3546963036060333,0.0,0.0026469873264431953,N
0.11268804,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.160980711,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.213314574,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.263265509,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.31496071,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.367378561,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.417377073,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.466216611,0,0.3653629720211029,0.0,0.0026864924002438784,N
0.517712928,0,0.37075555324554443,0.0,0.002706244820728898,N
0.56863403,0,0.37075555324554443,0.0,0.002706244820728898,N
0.617398955,0,0.38165926933288574,0.0,0.0027457501273602247,N
0.670628916,0,0.42684444785118103,0.0,-0.0,N
0.721786721,0,0.5248592495918274,0.0,-0.00643999082967639,N
0.770526401,0,0.6050271391868591,0.0,-0.010371893644332886,N
0.817189349,0,0.6761382818222046,0.0,-0.010964403860270977,N
0.871720888,0,0.7435851693153381,0.0,-0.015331652946770191,N
0.933712658,0,0.8142518401145935,0.0,-0.020055463537573814,N
0.968828589,0,0.8715949058532715,0.0,-0.029053164646029472,N
1.019180745,0,0.9052442312240601,0.0,-0.033840905874967575,N
1.06902705,0,0.9138860702514648,0.0,-0.03825569525361061,N
1.122310217,0,0.9311402440071106,0.0,-0.042909689247608185,N
1.16942561,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.221654493,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.271807252,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.323883132,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.37278717,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.42301387,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.475736124,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.526290138,0,0.9399399757385254,0.0,-0.04742816463112831,N
1.578974381,0,0.9485720992088318,0.0,-0.04764517396688461,N
1.630377332,0,0.9572436809539795,0.0,-0.047862183302640915,N
1.679642023,0,0.9747054576873779,0.0,-0.04829621687531471,N
1.730135918,0,0.9988279938697815,0.0,-0.0484013557434082,N
1.781907873,0,0.9986876845359802,0.0,-0.05121475085616112,N
1.833281068,0,0.998536229133606,0.0,-0.054087378084659576,N
1.881908121,0,0.9986066222190857,0.0,-0.05277189239859581,N
1.931853388,0,0.9986398816108704,0.0,-0.0521378256380558,N
1.983442713,0,0.998661458492279,0.0,-0.051723502576351166,N
2.034792069,0,0.9986824989318848,0.0,-0.05131569877266884,N
2.082783432,0,0.9987230896949768,0.0,-0.05051906779408455,N
2.133169019,0,0.9987897872924805,0.0,-0.04918283224105835,N
2.185197926,0,0.9988514184951782,0.0,-0.04791538044810295,N
2.236457662,0,0.9988925457000732,0.0,-0.04704928770661354,N
2.285825184,0,0.9989239573478699,0.0,-0.04637861251831055,N
2.335409315,0,0.9989466071128845,0.0,-0.04588800668716431,N
2.386167393,0,0.9984387755393982,0.0,-0.05585671588778496,N
2.435473228,0,0.9980660080909729,0.0,-0.062163278460502625,N
2.487421507,0,0.9971737861633301,0.0,-0.07512953132390976,N
2.535896546,0,0.9966846108436584,0.0,-0.08136200904846191,N
2.586951031,0,0.9961385130882263,0.0,-0.08779525756835938,N
2.639783185,0,0.9955257773399353,0.0,-0.09449058026075363,N
2.685823047,0,0.9949032068252563,0.0,-0.10083477944135666,N
2.744907058,0,0.9942456483840942,0.0,-0.10712411254644394,N
2.790242891,0,0.9938837289810181,0.0,-0.11043152958154678,N
2.837021497,0,0.9935541749000549,0.0,-0.1133585274219513,N
2.89219441,0,0.993173360824585,0.0,-0.1166478767991066,N
2.943444132,0,0.9928296208381653,0.0,-0.11953801661729813,N
2.991056124,0,0.9924303293228149,0.0,-0.12280910462141037,N
3.043611354,0,0.9920205473899841,0.0,-0.12607619166374207,N
3.08985544,0,0.9916003942489624,0.0,-0.12933918833732605,N
3.143689211,0,0.9911699295043945,0.0,-0.13259798288345337,N
3.191874208,0,0.9907290935516357,0.0,-0.13585248589515686,N
3.248626991,0,0.9907899498939514,0.0,-0.135407954454422,N
3.294002144,0,0.9903417229652405,0.0,-0.13864783942699432,N
3.345876318,0,0.9898834228515625,0.0,-0.14188328385353088,N
3.399668558,0,0.9884477257728577,0.0,-0.15156199038028717,N
3.447957508,0,0.9874406456947327,0.0,-0.157990500330925,N
3.500674764,0,0.9858558177947998,0.0,-0.1675954908132553,N
3.553574234,0,0.9853079915046692,0.0,-0.17078672349452972,N
3.602990417,0,0.9848493933677673,0.0,-0.1734120100736618,N
3.649717636,0,0.9842857718467712,0.0,-0.17658282816410065,N
3.699472172,0,0.9842857718467712,0.0,-0.17658282816410065,N
3.752509254,0,0.9843872785568237,0.0,-0.17601627111434937,N
3.800199921,0,0.9843872785568237,0.0,-0.17601627111434937,N
3.851156624,0,0.9843872785568237,0.0,-0.17601627111434937,N
3.903621275,0,0.9843872785568237,0.0,-0.17601627111434937,N
3.955286742,0,0.9843872785568237,0.0,-0.17601627111434937,N
4.006285358,0,0.9843872785568237,0.0,-0.17601627111434937,N
4.055985115,0,0.9832388162612915,0.0,-0.1823224276304245,N
4.105343608,0,0.981445848941803,0.0,-0.19173942506313324,N
4.154528493,0,0.9789264798164368,0.0,-0.20421312749385834,N
4.2062902,0,0.9776124954223633,0.0,-0.21041329205036163,N
4.256903652,0,0.9769421815872192,0.0,-0.21350392699241638,N
4.30801873,0,0.9762630462646484,0.0,-0.21658816933631897,N
4.357701625,0,0.9762630462646484,0.0,-0.21658816933631897,N
4.409741373,0,0.9755751490592957,0.0,-0.21966592967510223,N
4.462472095,0,0.9755751490592957,0.0,-0.21966592967510223,N
4.51232431,0,0.9741732478141785,0.0,-0.2258017510175705,N
4.563264564,0,0.9727370738983154,0.0,-0.2319108247756958,N
4.613774927,0,0.9720062017440796,0.0,-0.23495514690876007,N
4.665174573,0,0.9712669849395752,0.0,-0.2379925698041916,N
4.71560965,0,0.9705194234848022,0.0,-0.24102303385734558,N
4.768633611,0,0.9697635173797607,0.0,-0.24404644966125488,N
4.817480624,0,0.9682272672653198,0.0,-0.2500719428062439,N
4.865706636,0,0.9666586518287659,0.0,-0.25606849789619446,N
4.916520508,0,0.9658623337745667,0.0,-0.2590557932853699,N
4.967335404,0,0.9634264707565308,0.0,-0.2679729163646698,N
5.018898321,0,0.9609212875366211,0.0,-0.27682170271873474,N
5.065685812,0,0.9600712060928345,0.0,-0.2797558307647705,N
5.118165175,0,0.9583487510681152,0.0,-0.28560060262680054,N
5.173077219,0,0.9574765563011169,0.0,-0.28851115703582764,N
5.219326418,0,0.9565971493721008,0.0,-0.29141369462013245,N
5.27156895,0,0.9557105302810669,0.0,-0.29430821537971497,N
5.31926281,0,0.9548169374465942,0.0,-0.2971946597099304,N
5.367655548,0,0.9530086517333984,0.0,-0.3029431402683258,N
5.418595735,0,0.9502447843551636,0.0,-0.3115040957927704,N
5.469788878,0,0.9483687877655029,0.0,-0.3171696960926056,N
5.519321552,0,0.9455059766769409,0.0,-0.32560470700263977,N
5.568383763,0,0.9455059766769409,0.0,-0.32560470700263977,N
5.621394923,0,0.9432215094566345,0.0,-0.33216437697410583,N
5.672016019,0,0.9412456750869751,0.0,-0.33772268891334534,N
5.722894134,0,0.9392455816268921,0.0,-0.34324589371681213,N
5.776071126,0,0.9372218251228333,0.0,-0.34873372316360474,N
5.824233049,0,0.9358153939247131,0.0,-0.35249045491218567,N
5.869563178,0,0.9337460994720459,0.0,-0.3579360246658325,N
5.924521999,0,0.9327030777931213,0.0,-0.36064520478248596,N
5.971333327,0,0.929541289806366,0.0,-0.36871805787086487,N
6.022392248,0,0.9280479550361633,0.0,-0.3724607229232788,N
6.077372022,0,0.9258918762207031,0.0,-0.3777886629104614,N
6.125761654,0,0.9237154722213745,0.0,-0.38307932019233704,N
6.177357041,0,0.9215192794799805,0.0,-0.3883325457572937,N
6.226006252,0,0.9204140305519104,0.0,-0.39094507694244385,N
6.275271056,0,0.9204140305519104,0.0,-0.39094507694244385,N
6.32792847,0,0.9306464195251465,0.0,-0.3659197986125946,N
6.37868404,0,0.9472933411598206,0.0,-0.3203674256801605,N
6.429673785,0,0.950572669506073,0.0,-0.31050223112106323,N
6.491071791,0,0.950572669506073,0.0,-0.31050223112106323,N
6.538147368,0,0.950572669506073,0.0,-0.31050223112106323,N
6.585106257,0,0.9372218251228333,0.0,-0.34873372316360474,N
6.632435237,0,0.9199876189231873,0.0,-0.3919473886489868,N
6.686416497,0,0.8878766894340515,0.0,-0.460081547498703,N
6.735030512,0,0.8586563467979431,0.0,-0.5125517845153809,N
6.784173605,0,0.8376106023788452,0.0,-0.5462678074836731,N
6.833572086,0,0.8296342492103577,0.0,-0.5583072900772095,N
6.887200212,0,0.8271706104278564,0.0,-0.5619508624076843,N
6.937250921,0,0.8213356137275696,0.0,-0.5704452991485596,N
6.988297042,0,0.8103310465812683,0.0,-0.5859723091125488,N
7.034545788,0,0.7948839664459229,0.0,-0.6067614555358887,N
7.085877625,0,0.7811279296875,0.0,-0.6243709921836853,N
7.138515583,0,0.7693111300468445,0.0,-0.6388742923736572,N
7.18918457,0,0.7609502673149109,0.0,-0.6488102078437805,N
7.234761154,0,0.7394601702690125,0.0,-0.6732003092765808,N
7.285275987,0,0.7162973284721375,0.0,-0.6977952122688293,N
7.336080283,0,0.693793773651123,0.0,-0.720173716545105,N
7.390016682,0,0.6857743859291077,0.0,-0.7278141975402832,N
7.436902682,0,0.6802487969398499,0.0,-0.732981264591217,N
7.492470498,0,0.6691108345985413,0.0,-0.7431626319885254,N
7.536029543,0,0.6521002054214478,0.0,-0.7581327557563782,N
7.586225605,0,0.6328014731407166,0.0,-0.7743140459060669,N
7.636438816,0,0.6174657940864563,0.0,-0.786597728729248,N
7.687385076,0,0.6128235459327698,0.0,-0.790219783782959,N
7.737191625,0,0.6111409664154053,0.0,-0.7915217876434326,N
7.802513267,0,0.6111409664154053,0.0,-0.7915217876434326,N
7.838247751,0,0.6291982531547546,0.0,-0.7772448658943176,N
7.890797657,0,0.6927998065948486,0.0,-0.7211299538612366,N
7.941027026,0,0.7415357828140259,0.0,-0.6709133386611938,N
7.990296081,0,0.7674090266227722,0.0,-0.641157865524292,N
8.040208724,0,0.7743924856185913,0.0,-0.6327055096626282,N
8.093336913,0,0.7801613807678223,0.0,-0.6255783438682556,N
8.142897094,0,0.7878071665763855,0.0,-0.6159219741821289,N
8.195491086,0,0.8014162182807922,0.0,-0.598107099533081,N
8.243505276,0,0.811667799949646,0.0,-0.5841193199157715,N
8.297898919,0,0.8189029693603516,0.0,-0.5739319920539856,N
8.345218103,0,0.8226114511489868,0.0,-0.5686039328575134,N
8.398950303,0,0.8251932263374329,0.0,-0.5648505687713623,N
8.448808138,0,0.8273990750312805,0.0,-0.561614453792572,N
8.501487686,0,0.8341653943061829,0.0,-0.5515143275260925,N
8.550909806,0,0.842437207698822,0.0,-0.5387945175170898,N
8.600664903,0,0.860657274723053,0.0,-0.5091846585273743,N
8.656643666,0,0.8729992508888245,0.0,-0.4877215325832367,N
8.703212076,0,0.8835728764533997,0.0,-0.4682936370372772,N
8.751377733,0,0.8913248181343079,0.0,-0.4533652365207672,N
8.803081387,0,0.8974781632423401,0.0,-0.4410589337348938,N
8.853753314,0,0.9029814600944519,0.0,-0.4296795725822449,N
8.901732502,0,0.9099197387695312,0.0,-0.41478440165519714,N
8.950611946,0,0.916553795337677,0.0,-0.39991143345832825,N
9.007708854,0,0.9236491918563843,0.0,-0.3832390606403351,N
9.053526359,0,0.9296538233757019,0.0,-0.36843422055244446,N
9.101628694,0,0.9358013272285461,0.0,-0.3525278866291046,N
9.152013651,0,0.9409688115119934,0.0,-0.338493287563324,N
9.201412507,0,0.944582462310791,0.0,-0.3282741904258728,N
9.253059334,0,0.9474039673805237,0.0,-0.3200402557849884,N
9.304655864,0,0.9505673050880432,0.0,-0.31051865220069885,N
9.351928492,0,0.954217255115509,0.0,-0.299114465713501,N
9.403285728,0,0.95828777551651,0.0,-0.2858051359653473,N
9.451861404,0,0.9621542096138,0.0,-0.2725055515766144,N
9.503041929,0,0.9654343128204346,0.0,-0.26064640283584595,N
9.564741226,0,0.969403862953186,0.0,-0.24547135829925537,N
9.602058682,0,0.9731169939041138,0.0,-0.23031127452850342,N
9.653065759,0,0.9759421348571777,0.0,-0.21802963316440582,N
9.703630595,0,0.9782850742340088,0.0,-0.2072637975215912,N
9.753718729,0,0.9805010557174683,0.0,-0.19651392102241516,N
9.80490287,0,0.9822118878364563,0.0,-0.18777580559253693,N
9.855069841,0,0.983404815196991,0.0,-0.1814247965812683,N
9.904073265,0,0.9842620491981506,0.0,-0.17671510577201843,N
9.955003297,0,0.9858355522155762,0.0,-0.16771475970745087,N
10.008865362,0,0.9873132705688477,0.0,-0.1587844043970108,N
10.057915113,0,0.9892903566360474,0.0,-0.14596086740493774,N
10.107387459,0,0.9911220073699951,0.0,-0.1329553872346878,N
10.158625445,0,0.9929994344711304,0.0,-0.11811888962984085,N
10.206939715,0,0.9944289326667786,0.0,-0.10540946573019028,N
10.256667162,0,0.995860755443573,0.0,-0.09089205414056778,N
10.306505121,0,0.9969022274017334,0.0,-0.078651063144207,N
10.369003885,0,0.9977937936782837,0.0,-0.06638941168785095,N
10.407211869,0,0.9981791377067566,0.0,-0.06031882017850876,N
10.458495033,0,0.9985309839248657,0.0,-0.054183851927518845,N
10.509600141,0,0.9989283680915833,0.0,-0.04628239572048187,N
10.561070862,0,0.999106228351593,0.0,-0.04226987808942795,N
10.620683409,0,0.9991886615753174,0.0,-0.040274400264024734,N
10.663027546,0,0.9992640018463135,0.0,-0.03835946321487427,N
10.714272283,0,0.9993357062339783,0.0,-0.036444105207920074,N
10.764281545,0,0.9994701147079468,0.0,-0.032549794763326645,N
10.820766727,0,0.9995889663696289,0.0,-0.028668899089097977,N
10.871862844,0,0.9997378587722778,0.0,-0.022894760593771935,N
10.92131081,0,0.9997805953025818,0.0,-0.020947784185409546,N
10.967071489,0,0.9998542070388794,0.0,-0.01707530952990055,N
11.020363998,0,0.9998542070388794,0.0,-0.01707530952990055,N
11.068233432,0,0.9998547434806824,0.0,-0.01704297959804535,N
11.118636045,0,0.9998547434806824,0.0,-0.01704297959804535,N
11.170780043,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.220704515,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.27687313,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.321801091,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.373345878,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.423308457,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.478118511,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.524256765,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.579521987,0,0.9998552799224854,0.0,-0.017010770738124847,N
11.629495156,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.680154117,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.729824704,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.776920328,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.827808952,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.878465992,0,0.9998558759689331,0.0,-0.016978684812784195,N
11.936402293,0,0.999822735786438,0.0,-0.01882905326783657,N
11.984621598,0,0.999822735786438,0.0,-0.01882905326783657,N
12.032676283,0,0.999822735786438,0.0,-0.01882905326783657,N
12.084943781,0,0.999822735786438,0.0,-0.01882905326783657,N
12.157305881,0,0.999822735786438,0.0,-0.01882905326783657,N
12.184357356,0,0.9997854828834534,0.0,-0.02071118727326393,N
12.233869595,0,0.9997854828834534,0.0,-0.02071118727326393,N
12.284481231,0,0.9997854828834534,0.0,-0.02071118727326393,N
12.336764119,0,0.9997854828834534,0.0,-0.02071118727326393,N
12.386551072,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.436700725,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.489662301,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.541123865,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.588851172,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.640028232,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.689724061,0,0.9997863173484802,0.0,-0.020672272890806198,N
12.747191305,0,0.9997457265853882,0.0,-0.022550655528903008,N
12.790287906,0,0.9997015595436096,0.0,-0.024428797885775566,N
12.844615594,0,0.9996551871299744,0.0,-0.026257360354065895,N
12.897739067,0,0.9995497465133667,0.0,-0.03000524640083313,N
12.941432864,0,0.9994936585426331,0.0,-0.03181908652186394,N
12.993506213,0,0.999432384967804,0.0,-0.033688731491565704,N
13.046432815,0,0.9993699789047241,0.0,-0.03549164533615112,N
13.099532352,0,0.9993019700050354,0.0,-0.037357084453105927,N
13.143643271,0,0.9993019700050354,0.0,-0.037357084453105927,N
13.195336992,0,0.9992305040359497,0.0,-0.03922213241457939,N
13.24578212,0,0.9992333650588989,0.0,-0.03914906829595566,N
13.29691048,0,0.9992333650588989,0.0,-0.03914906829595566,N
13.351095304,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.406636545,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.450883445,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.501050565,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.551146878,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.60360897,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.652299402,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.702676285,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.757562162,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.804217266,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.855826742,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.909700794,0,0.9991587400436401,0.0,-0.04101024568080902,N
13.957477403,0,0.9991587400436401,0.0,-0.04101024568080902,N
14.007079641,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.059597882,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.114286184,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.161009051,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.214625665,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.260651863,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.317278195,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.364239301,0,0.9990805983543396,0.0,-0.04287099838256836,N
14.414316574,0,0.9990840554237366,0.0,-0.04279130697250366,N
14.465222755,0,0.9990840554237366,0.0,-0.04279130697250366,N
14.516869343,0,0.9990840554237366,0.0,-0.04279130697250366,N
