t_rel,estop,throttle,brake,steer,mode,watchdog
0.009806014,0,0.06391877681016922,0.0,-0.00225586025044322,D,0
0.06082467,0,0.11520888656377792,0.0,-0.02075391449034214,D,0
0.110167338,0,0.11520888656377792,0.0,-0.02075391449034214,D,0
0.160770117,0,0.16328644752502441,0.0,-0.02075391449034214,D,0
0.210112976,0,0.16328644752502441,0.0,-0.02075391449034214,D,0
0.260799455,0,0.21335799992084503,0.0,-0.0027070322539657354,D,0
0.310103472,0,0.21335799992084503,0.0,-0.0027070322539657354,D,0
0.360760163,0,0.2500254511833191,0.0,-0.007669924758374691,D,0
0.410063028,0,0.2500254511833191,0.0,-0.007669924758374691,D,0
0.460716744,0,0.25135478377342224,0.0,-0.01308398973196745,D,0
0.510093999,0,0.25135478377342224,0.0,-0.01308398973196745,D,0
0.561483739,0,0.23418422043323517,0.0,-0.015339849516749382,D,0
0.610114794,0,0.23418422043323517,0.0,-0.015339849516749382,D,0
0.660756063,0,0.2379506677389145,0.0,-0.03609376400709152,D,0
0.71012036,0,0.2379506677389145,0.0,-0.03609376400709152,D,0
0.760737089,0,0.25512123107910156,0.0,-0.01308398973196745,D,0
0.810113575,0,0.25512123107910156,0.0,-0.01308398973196745,D,0
0.860740543,0,0.27727678418159485,0.0,-0.01037695724517107,D,0
0.91009844,0,0.27727678418159485,0.0,-0.01037695724517107,D,0
0.960756475,0,0.3215878903865814,0.0,-0.015791021287441254,D,0
1.010082599,0,0.3215878903865814,0.0,-0.015791021287441254,D,0
1.060729785,0,0.3873898983001709,0.0,-0.04647072032094002,D,0
1.110041925,0,0.3873898983001709,0.0,-0.04647072032094002,D,0
1.160692438,0,0.426605224609375,0.0,-0.04105665534734726,D,0
1.210005858,0,0.426605224609375,0.0,-0.04105665534734726,D,0
1.260698157,0,0.45773378014564514,0.0,-0.03338673338294029,D,0
1.310047189,0,0.45773378014564514,0.0,-0.03338673338294029,D,0
1.360709476,0,0.46338343620300293,0.0,-0.025716807693243027,D,0
1.410034351,0,0.46338343620300293,0.0,-0.025716807693243027,D,0
1.460683616,0,0.4487607777118683,0.0,-0.023009775206446648,D,0
1.510040102,0,0.4487607777118683,0.0,-0.023009775206446648,D,0
1.560689495,0,0.45064398646354675,0.0,-0.03609376400709152,D,0
1.610061755,0,0.45064398646354675,0.0,-0.03609376400709152,D,0
1.660686895,0,0.456404447555542,0.0,-0.03338673338294029,D,0
1.710042294,0,0.456404447555542,0.0,-0.03338673338294029,D,0
1.760693734,0,0.4557397663593292,0.0,-0.015339849516749382,D,0
1.810068458,0,0.4557397663593292,0.0,-0.015339849516749382,D,0
1.860717659,0,0.45263800024986267,0.0,-0.01804688200354576,D,0
1.910055236,0,0.45263800024986267,0.0,-0.01804688200354576,D,0
1.960690711,0,0.45330268144607544,0.0,-0.03609376400709152,D,0
2.010257215,0,0.45330268144607544,0.0,-0.03609376400709152,D,0
2.060676685,0,0.4558505415916443,0.0,-0.025716807693243027,D,0
2.110237523,0,0.4558505415916443,0.0,-0.025716807693243027,D,0
2.160692284,0,0.45263800024986267,0.0,-0.01804688200354576,D,0
2.210242788,0,0.45263800024986267,0.0,-0.01804688200354576,D,0
2.260674384,0,0.45263800024986267,0.0,-0.02346094697713852,D,0
2.310239286,0,0.45263800024986267,0.0,-0.02346094697713852,D,0
2.36066122,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
2.410254278,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
2.460687442,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
2.510258583,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
2.560679077,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
2.61028167,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
2.66099601,0,0.45263800024986267,0.0,-0.03338673338294029,D,0
2.710008478,0,0.45263800024986267,0.0,-0.03338673338294029,D,0
2.760765916,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
2.810227345,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
2.860916345,0,0.453191876411438,0.0,-0.025716807693243027,D,0
2.910239169,0,0.453191876411438,0.0,-0.025716807693243027,D,0
2.960920586,0,0.45507511496543884,0.0,-0.01804688200354576,D,0
3.010343715,0,0.45507511496543884,0.0,-0.01804688200354576,D,0
3.060794057,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
3.110054487,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
3.160727454,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
3.210044099,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
3.260730249,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
3.310248178,0,0.45385655760765076,0.0,-0.028423840180039406,D,0
3.360707063,0,0.4525272250175476,0.0,-0.028423840180039406,D,0
3.410237727,0,0.4525272250175476,0.0,-0.028423840180039406,D,0
3.460760091,0,0.45330268144607544,0.0,-0.015339849516749382,D,0
3.510239466,0,0.45330268144607544,0.0,-0.015339849516749382,D,0
3.560738058,0,0.45263800024986267,0.0,-0.02346094697713852,D,0
3.610022356,0,0.45263800024986267,0.0,-0.02346094697713852,D,0
3.660729494,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
3.710248352,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
3.760753886,0,0.4519733190536499,0.0,-0.030679699033498764,D,0
3.81021656,0,0.4519733190536499,0.0,-0.030679699033498764,D,0
3.860742315,0,0.453191876411438,0.0,-0.025716807693243027,D,0
3.910017527,0,0.453191876411438,0.0,-0.025716807693243027,D,0
3.960699837,0,0.453191876411438,0.0,-0.025716807693243027,D,0
4.010024032,0,0.453191876411438,0.0,-0.025716807693243027,D,0
4.060667528,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
4.110027013,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
4.160683083,0,0.45330268144607544,0.0,-0.02075391449034214,D,0
4.210041,0,0.45330268144607544,0.0,-0.02075391449034214,D,0
4.260656116,0,0.4525272250175476,0.0,-0.028423840180039406,D,0
4.3103911,0,0.4525272250175476,0.0,-0.028423840180039406,D,0
4.361413743,0,0.453191876411438,0.0,-0.031130870804190636,D,0
4.410362085,0,0.453191876411438,0.0,-0.031130870804190636,D,0
4.460949557,0,0.4519733190536499,0.0,-0.030679699033498764,D,0
4.51012606,0,0.4519733190536499,0.0,-0.030679699033498764,D,0
4.560684288,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
4.610249759,0,0.45452120900154114,0.0,-0.02030274271965027,D,0
4.660754779,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
4.710049761,0,0.45385655760765076,0.0,-0.023009775206446648,D,0
4.760681834,0,0.45263800024986267,0.0,-0.02346094697713852,D,0
